"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000011304.12",2998.49758032775,3.26622608790352,0.0723226640807375,45.1618608000565,0,0
"ENSG00000064666.10",1072.89978983826,4.17018455015718,0.140176465956205,29.7495340727171,1.75837083917748e-194,4.57176418186146e-193
"ENSG00000064687.8",566.220566595511,1.06822172789691,0.133255084528387,8.01636749304935,1.08918308112457e-15,4.71979335153981e-15
"ENSG00000064932.11",554.851177084986,2.38902955356039,0.150398938646191,15.8846171061122,8.09909880538162e-57,6.01647339828349e-56
"ENSG00000065268.6",424.305625868492,0.421617028803876,0.153109562541245,2.75369494763138,0.00589266640952337,0.0115629680488761
"ENSG00000070388.7",14.9917030964838,-4.7696657907989,1.09723532979107,-4.34698524673563,1.3802149914595e-05,3.8795232192375e-05
"ENSG00000070404.5",267.265401662112,2.25839595710014,0.205489732079849,10.9903104853072,4.25459957692076e-28,2.45821308888755e-27
"ENSG00000070423.13",324.810024886061,0.297641254225064,0.162650943969967,1.82993868317187,0.0672591082138105,0.11467126646289
"ENSG00000071564.10",1007.77453230234,2.5241511525319,0.108088882087038,23.3525511948523,1.29831144774505e-120,2.25040650942475e-119
"ENSG00000071626.12",1447.76911625924,1.40275033821668,0.0813003409328835,17.2539293454465,1.04541568904979e-66,9.88393015101624e-66
"ENSG00000071655.13",1200.15023532769,-0.234254901255136,0.0870209106802714,-2.69193805746099,0.0071038137837292,0.013681419139034
"ENSG00000079313.7",595.845304456993,-0.638403098426418,0.120245561022126,-5.30916146092865,1.10130739700369e-07,3.57924904026199e-07
"ENSG00000099617.2",34.5339734172291,2.05537734267968,0.578292970843903,3.55421463913051,0.000379109674975834,0.000896077413579243
"ENSG00000099622.9",2100.37430857016,-1.64389129284508,0.0676306198445328,-24.3069085663269,1.6568573643055e-130,3.44626331775545e-129
"ENSG00000099624.3",1125.55610675365,-0.643230046061971,0.0937941270062574,-6.8578925631352,6.9883782296448e-12,2.64321520802991e-11
"ENSG00000099625.8",192.278200026013,-2.05656521914627,0.236771002806662,-8.68588296188271,3.75811693199046e-18,1.77656436785004e-17
"ENSG00000099804.4",479.007034998476,-0.260945619484919,0.134073090992966,-1.94629375329766,0.0516194635315308,0.0909902408013424
"ENSG00000099812.6",134.36062722296,8.56879045498487,1.46019942449606,5.86823300381871,4.40463978631777e-09,1.52694179259016e-08
"ENSG00000099817.7",931.274574612674,-0.105295790459296,0.0954959152789189,-1.10262088333049,0.270191837414267,0.360255783219022
"ENSG00000099821.9",747.404880392196,0.0418752850614347,0.107799715834251,0.388454503217992,0.697679716849693,0.763775690024927
"ENSG00000099822.2",599.436734529463,-2.68764844975922,0.141984960504268,-18.9291065773014,6.56666274570586e-80,7.58814361726011e-79
"ENSG00000099864.13",2161.69650604553,-4.62393999281543,0.0906170361426866,-51.0272702534049,0,0
"ENSG00000099866.10",32.332393084151,-1.78460927061509,0.53462339512413,-3.33806804358185,0.000843630874775093,0.00179056348931856
"ENSG00000105549.6",1.41411940691587,-4.43387047096401,3.6147768232806,-1.22659591109695,0.219974506798945,0.313388338453292
"ENSG00000105556.6",149.580942358296,0.396440892339889,0.239385230670535,1.65607916256751,0.0977057885536557,0.158771906399691
