"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000011304.12",3794.57541290386,3.37333267042847,0.0799391870502237,42.1987362507088,0,0
"ENSG00000099822.2",1874.76323754529,-3.54372529875296,0.0919073679843413,-38.5575757033617,0,0
"ENSG00000099864.13",4499.43299061958,-4.60065212858242,0.0756407153380293,-60.8224301954662,0,0
"ENSG00000115266.7",2246.7392418102,-7.15376180334431,0.16955865322736,-42.1904849276661,0,0
"ENSG00000064666.10",1869.58453856742,4.97870623908212,0.137508959988494,36.2064133093488,4.8256735637555e-287,1.10990491966377e-285
"ENSG00000099622.9",4066.44769786589,-1.95615264452918,0.0618713219330988,-31.6164675880751,2.19275033952514e-219,4.20277148408985e-218
"ENSG00000116017.6",742.593306248334,3.58884057225213,0.163181851076924,21.99289043829,3.36834851692909e-107,5.53371542066922e-106
"ENSG00000180448.6",607.08871696513,4.27540252049558,0.200255176152464,21.3497728380339,3.91838603671591e-101,5.63267992777912e-100
"ENSG00000071564.10",803.190184350495,2.56191326291472,0.133541360998874,19.1844177994885,4.9950422733995e-82,6.38255401601048e-81
"ENSG00000129968.11",897.380260188031,-2.06621341173868,0.113124714525605,-18.2649160300954,1.57454961554444e-74,1.81073205787611e-73
"ENSG00000071626.12",1528.40700248644,1.49082995953004,0.0918878192705291,16.2244568579961,3.38700376119025e-59,3.54095847760799e-58
"ENSG00000133243.4",1448.13736674409,-1.62075836594303,0.100086722688491,-16.1935401860191,5.60112293380517e-59,5.36774281156329e-58
"ENSG00000167468.12",3829.56166213214,-0.934610619225407,0.0610279752427443,-15.3144621873478,6.12161306425616e-53,5.41527309530353e-52
"ENSG00000099625.8",272.082943525311,-3.01598575004323,0.212896420032342,-14.1664465263674,1.47792006297724e-45,1.21400576601702e-44
"ENSG00000160953.10",1211.31063598764,-1.2008972519472,0.0977724917573156,-12.2825677280271,1.12374137291764e-34,8.61535052570192e-34
"ENSG00000172232.5",206.777569700616,5.13229202894011,0.423005176654294,12.1329296003735,7.06750007532959e-34,5.07976567914314e-33
"ENSG00000064932.11",350.746255044746,2.36049134885358,0.197582513929875,11.9468636262587,6.74219138133607e-33,4.56089416972734e-32
"ENSG00000115286.15",843.257977815358,-1.28901850982101,0.114501566270759,-11.2576495833507,2.12346847030553e-29,1.35666041158409e-28
"ENSG00000099812.6",185.086226547988,5.98663083093438,0.554486969861954,10.796702458896,3.56787941768068e-27,2.15950596333304e-26
"ENSG00000183186.6",130.913491583754,-3.81856371815162,0.357071391944071,-10.6941183312432,1.08446101244472e-26,6.23565082155716e-26
"ENSG00000197561.2",317.212712504083,7.77926570481809,0.741008906439,10.4982081014413,8.80353700815603e-26,4.82098455208545e-25
"ENSG00000129946.6",262.095762745501,-2.16347342301916,0.218919893947457,-9.88248890499838,4.9585751711897e-23,2.59198247584916e-22
"ENSG00000129951.14",242.004475063102,-2.09671408453843,0.216144394941416,-9.70052489728788,2.99951509017138e-22,1.49975754508569e-21
"ENSG00000079313.7",668.302509417906,-1.22541521961864,0.126602267216444,-9.6792517745644,3.69409561754859e-22,1.7700874834087e-21
"ENSG00000099624.3",1082.85193015806,-1.02014497596825,0.105569952893094,-9.66321332928227,4.32093565356309e-22,1.98763040063902e-21
"ENSG00000167470.8",1238.66444339606,0.959148646361377,0.100785167598295,9.51676391693176,1.78655832649407e-21,7.90208490564684e-21
"ENSG00000070404.5",358.906350227332,1.77864663368933,0.186977069137202,9.51264581211391,1.85873721461325e-21,7.91684369187126e-21
"ENSG00000064687.8",415.575328208162,1.75558869639834,0.185185514117314,9.48016212156954,2.53888308514271e-21,1.04275555282647e-20
"ENSG00000196415.5",144.704539816331,2.787229506125,0.314745457016537,8.8555035314729,8.33068817726339e-19,3.30354875994927e-18
"ENSG00000115268.5",5314.00659875479,0.451474490497108,0.0550190748870033,8.20578120268896,2.29096301454987e-16,8.78202488910783e-16
"ENSG00000129911.4",372.288705295241,-1.32969327329243,0.171213921160219,-7.76626844524005,8.08321447589659e-15,2.99861182170357e-14
"ENSG00000127540.7",686.671497260537,-0.947642445341326,0.127355201208249,-7.44094027060392,9.99711441251854e-14,3.59271299199885e-13
"ENSG00000197766.3",77.2108036221684,3.85544190669942,0.519353364550956,7.42354275500442,1.14028335986246e-13,3.97371473891464e-13
"ENSG00000267059.2",957.60604706637,-0.790324689426924,0.106833248072849,-7.39774090635157,1.38520784754996e-13,4.68526183730133e-13
"ENSG00000130005.7",373.85032384389,-1.12346816941248,0.167005827352545,-6.72711956955169,1.73054532772436e-11,5.68607750538003e-11
"ENSG00000071655.13",957.303967940065,-0.679091209880728,0.108783072788111,-6.2426183823973,4.3030586788237e-10,1.37458818906868e-09
"ENSG00000130270.12",50.0703794222723,4.23352533692816,0.685406695327339,6.17666177729166,6.54711197029413e-10,2.03491317995628e-09
"ENSG00000118046.10",952.449111365317,-0.528482315102137,0.106666713523021,-4.9545195276695,7.25092348154711e-07,2.19435842204715e-06
"ENSG00000070388.7",21.0688258313914,-4.23210471238202,0.906279063723875,-4.66975888750251,3.01553457334723e-06,8.89196092140851e-06
"ENSG00000099866.10",44.3319759755954,-2.28463560106372,0.503236910818242,-4.53988082342569,5.62860333063934e-06,1.61822345755881e-05
"ENSG00000185988.7",19.4919378546952,-3.89674060256997,0.870075533983699,-4.47862334977802,7.51259550706216e-06,2.10719142271256e-05
"ENSG00000185761.6",37.5799100182781,2.47316656034833,0.591239616139715,4.18301902111361,2.87663313558177e-05,7.87649549028342e-05
"ENSG00000141933.8",114.386816951222,-1.24708931269346,0.30183793837791,-4.13165196991264,3.60165453284478e-05,9.63233189016628e-05
"ENSG00000267317.1",68.0320426339235,1.67617064002275,0.412183194465737,4.06656715394563,4.77107412306039e-05,0.000124698528216351
"ENSG00000227500.5",638.486122653356,-0.520191494031755,0.128145131793907,-4.05939333589643,4.92003759880393e-05,0.000125734294191656
"ENSG00000267530.2",19.037733562431,4.65861591638773,1.22156310318709,3.81365146363154,0.000136928541303886,0.000342321353259714
"ENSG00000266939.1",6.50854645958872,-6.6497889635199,1.87658089035427,-3.54356638592036,0.000394753912327549,0.000965887232290812
"ENSG00000065268.6",428.044384006855,0.548780923267741,0.159288858548214,3.44519339437438,0.000570650949721421,0.00136718456704091
"ENSG00000228300.9",262.008090602987,0.695959409446345,0.207246759857185,3.35811961511936,0.000784746466271233,0.00184175191063657
"ENSG00000116014.5",16.0875555393531,3.34883162590931,1.01872876612604,3.28726520469628,0.00101165511758156,0.00232680677043759
"ENSG00000175221.10",391.258078672928,-0.504825717597128,0.163441001801397,-3.08873362273293,0.00201011580694818,0.004532614074491
"ENSG00000119559.11",226.899127975351,-0.641900764286262,0.211140507406257,-3.04015923884835,0.00236453095068851,0.00522925114094574
"ENSG00000198683.2",289.742827004949,-0.561488357995661,0.186329626180153,-3.01341428900193,0.00258326000197987,0.00560518679674877
"ENSG00000197540.3",13.85607128099,3.1424103932992,1.09605849089529,2.8670097621637,0.00414370230625767,0.00882455120777096
"ENSG00000223244.1",38.1453174996582,-1.4928070921683,0.528128286461618,-2.8265993896481,0.00470451421779877,0.00983671154630652
"ENSG00000181588.15",216.829908004519,0.61512972705303,0.23412922013012,2.62730865763429,0.00860632288480176,0.0176736987812893
"ENSG00000267036.1",3.15892288288551,-5.61303894028166,2.27984013054765,-2.46203181752632,0.0138152410335659,0.0278728547168436
"ENSG00000116032.5",14.7159688161123,2.30975641628931,0.962106756572782,2.40072777839865,0.0163625037923492,0.0324428954503476
"ENSG00000267759.1",3.85748543910023,4.86679494054589,2.09880764859678,2.31883800490232,0.0204038216468491,0.0397701608370788
